Mental Model,Category,Subcategory,Type,Key Application,Description,Sources,Is Duplicate,Wikipedia URL
Multiplying by Zero,Systems and Mathematics,Mathematics,Mathematical Principle,,One failure negates all,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,
Murphy's Law,"Laws, Principles & Razors",Laws,Risk Principle,,"If something can go wrong, it will; plan for failure modes",Gabriel Weinberg & Lauren McCann; Risk Management; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Murphy%27s_law
Narrow Framing,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive,No,
Natural Selection,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Natural_selection
Negative Black Swan,Risk,Negative Surprises,Risk Model,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,
Negativity Bias,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Negativity_bias
Net Present Value,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Net_present_value
Network Effect,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Network_effect
Network Effects,Systems and Mathematics,Supporting Ideas,Economic Principle,,Value increases exponentially as the number of participants grows,Great Mental Models Vol 3; Kevin Espiritu; Kevin Espiritu (Business Models); Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; SuperThinking,No,https://en.wikipedia.org/wiki/Network_effect
Niches,"Physics, Chemistry, Biology",Biology,Biological Concept,,Specialized roles in ecosystem,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Girolamo_Michele_Nichesola
Nocebo Effect,"Biases, Fallacies & Effects",Psychological Effects,Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Nocebo_Effect
Nonresponse Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Nonresponse_bias
Normalcy Bias,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Normalcy_bias
Normal Distribution,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Normal_distribution
Nudge Theory,Choice Architecture,Choice Context,Behavioral Model,,Small changes to decision environment can dramatically shift behavior,Cass Sunstein & Richard Thaler; Cass Sunstein & Richard Thaler (Nudge); Nudge,No,https://en.wikipedia.org/wiki/Nudge_theory
Observer Effect,"Biases, Fallacies & Effects",Experimental & Observational,Experimental Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Observer_Effect
Observer-Expectancy Bias,"Biases, Fallacies & Effects",Experimental & Observational,Experimental Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Occam's Razor,General Thinking Concepts,Fundamental Frameworks,Principle,,The simplest explanation is usually the best; do not multiply entities beyond necessity,Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; SuperThinking,No,https://en.wikipedia.org/wiki/Occam%27s_razor
OODA Loop,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/OODA_loop
Opponent Modeling,Game Theory,Opponent Analysis,Strategic Framework,,Predict and adapt to opponent strategies by understanding their ranges and tendencies,Game Theory; Poker Community; Poker Strategy,No,
Opportunity Cost,Economics and Art,Economics,Economic Principle,,"True cost of choice is what you give up, not just what you spend",99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Economics; Great Mental Models Vol 4; Shane Parrish; Shane Parrish (TGMM Vol 4); Shane Parrish Vol 4; SuperThinking,No,https://en.wikipedia.org/wiki/Opportunity_cost
Optimistic Probability Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Optimization,Economics and Art,Art,Artistic Principle,,,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Optimization
Optimization (Art & Design),Art & Design,,Design Principle,,When maximize vs adapt,Shane Parrish Vol 4,No,
Order of Magnitude,Systems and Mathematics,Supporting Ideas,Estimation Principle,,Scale of estimation error,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers)
Ostrich Effect,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Ostrich_effect
Outcome Bias,Attribution,Causality Errors,Cognitive Bias,,,Fooled by Randomness; Nassim Taleb,No,https://en.wikipedia.org/wiki/Outcome_bias
Overconfidence Effect,Overestimation,Excessive Certainty,Cognitive Bias,,,"Daniel Kahneman; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Overconfidence_effect
Overconfidence in Predictions,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive,No,
Over/Underestimation Pattern,Prediction,Patterns,Prediction Bias,,,Forecasting Essays; Paul Saffo,No,
Paradox of Choice,Key Concepts,Foundational Thinking,Decision Problem,,Too many options leads to decision paralysis and decreased satisfaction,Behavioral Economics; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/The_Paradox_of_Choice
Pareto Distribution,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Pareto_distribution
Pareto Efficiency,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Pareto_efficiency
Pareto Frontier,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Pareto_frontier
Pareto Principle,Systems and Mathematics,Supporting Ideas,Framework,,,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Pareto_principle
Pareto Principle (80/20),Optimization,General,Distribution Principle,,80% effects from 20% causes,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Shane Parrish Vol 3; SuperThinking,No,
Pareto Principle (80/20 Rule),Optimization,,Distribution Principle,,"80% of effects come from 20% of causes; focus on vital few, not trivial many",99 Mental Models; Shane Parrish (TGMM Vol 3); SuperThinking,No,
Parkinson's Law,"Laws, Principles & Razors",Laws,Productivity Law,,Work expands to fill time allocated; add constraints to increase efficiency,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Gabriel Weinberg & Lauren McCann; Productivity; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Parkinson%27s_law
Path Dependence,Key Concepts,Foundational Thinking,Historical Principle,,"Current state shaped by sequence of past events, not just conditions",Economics; Gabriel Weinberg & Lauren McCann; History; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Path_dependence
Pattern Recognition,Learning & Growth,Learning Framework,Learning Model,,,Josh Waitzkin; The Art of Learning,No,https://en.wikipedia.org/wiki/Pattern_recognition
Pattern Seeking,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money,No,https://en.wikipedia.org/wiki/Pattern-Seeking_Animals
Paul Saffo's Forecasting Rules,Forecasting,Methods,Forecasting Model,,,Forecasting Essays; Paul Saffo,No,
Perspective,Economics and Art,Art,Art Concept,,Viewpoint of experience,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Perspective
Perverse Incentives,Key Concepts,Foundational Thinking,System Concept,,Incentive structures encourage undesired behaviors,Gabriel Weinberg & Lauren McCann; Incentive Design; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Perverse_incentive
Peter Principle,Comprehensive,General,Mental Model,,,99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Peter_principle
Placebo Effect,Comprehensive,General,Mental Model,,,80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Placebo_Effect
Planning Fallacy,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Planning_fallacy
Plot,Economics and Art,Art,Narrative Concept,,Meaningful sequence events,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Plot
Polarity,Key Concepts,System & Natural Dynamics,System Concept,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Polarity
Porter's 5 Forces,Business,Value Creation,Business Model,,,Business Mental Models; Kevin Espiritu; Mental Models for Business,No,https://en.wikipedia.org/wiki/Porter%27s_5_forces
Porter's Five Forces,Business Strategy,,Strategic Framework,,"Competitive intensity determined by threat of new entry, substitutes, supplier/buyer power",Business Strategy; Kevin Espiritu (Business Models); Michael Porter,No,https://en.wikipedia.org/wiki/Porter%27s_five_forces_analysis
Position Play,Game Theory & Decision,Strategic Frameworks,Strategic Framework,,,Poker Community; Poker Strategy,No,https://en.wikipedia.org/wiki/Position_player
Position Play Advantage,Strategic Advantage,Strategic Play,Strategic Principle,,Information advantage from acting later gives disproportionate benefit,Poker Community; Poker Strategy,No,
Position to Win,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish,No,
Position Yourself to Win,Decision Making & Psychology,Key Principles,Principle,,Set conditions before deciding,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
Positive Black Swan,Opportunities,Positive Surprises,Opportunity Model,,,Black Swan; Black Swan / Antifragile; Black Swan / Antifragile / Fooled by Randomness; Nassim Taleb,No,
Positive Reinforcement & Negative Reinforcement,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Potemkin Village,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Potemkin_village
Power of Introverts,Leadership & Personality,Personality Types,Leadership Framework,,Introversion brings unique strengths to leadership often undervalued,Quiet; Susan Cain; Susan Cain (Quiet),No,
Precautionary Principle,"Laws, Principles & Razors",Principles,Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Precautionary_principle
Pre-Decision Scenarios,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets,No,
Prepare to Be Wrong,Error Correction,Flexibility,Decision Framework,,,Chip & Dan Heath; Decisive,No,https://en.wikipedia.org/wiki/Prepare_to_Be_Wrong
Present Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Present_bias
Preserving Optionality,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Principles-Driven,Culture,Guiding Values,Cultural Framework,,,Principles; Ray Dalio,No,
Principles-Driven Approach,Business & Life,Culture,Cultural Framework,,,Principles; Ray Dalio,No,
Prisoner's Dilemma,Game Theory,General,Game Theory Model,,Individual incentives create suboptimal collective outcome,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Game Theory; SuperThinking,No,https://en.wikipedia.org/wiki/Prisoner%27s_dilemma
Probabilistic Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Make decisions based on probabilities rather than certainties; embrace uncertainty quantification,"Annie Duke; Annie Duke (Thinking in Bets); Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1; Thinking in Bets",No,
Procrastination as Advantage,Creativity,Timing Advantage,Productivity Model,,,Adam Grant; Originals,No,
Product/Market Fit,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Product-market_fit
Prompt,Behavior Change,Habit Formation,Behavioral Framework,,,BJ Fogg; Tiny Habits,No,https://en.wikipedia.org/wiki/Prompt
Pros & Cons List,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/The_Pros_and_Cons_of_Hitch_Hiking
Prospect Theory,Decision Theory,Risk Preferences,Economic Theory,,"People evaluate outcomes relative to reference point, not absolute value","Behavioral Economics; Daniel Kahneman; Daniel Kahneman (Thinking, Fast and Slow); Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Prospect_theory
Prototype Theory,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Prototype_theory
Publication Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Publication_bias
Public Goods,Economics and Art,Economics,Economic Concept,,Non-excludable non-rivalrous,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Public_good
Purple Cow,Marketing & Innovation,,Marketing Framework,,Be remarkable/different to be noticed in crowded markets,Seth Godin (Purple Cow),No,https://en.wikipedia.org/wiki/Purple_Cow
Pygmalion Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Pygmalion_effect
Pyramid Principle of Communication,Additional Frameworks,Communication,Framework,,,Cross-Source; Cross-Source Frameworks; Multiple,No,
Radical Open-Mindedness,Learning & Growth,Learning,Mental Framework,,Actively seek to understand different viewpoints and consider them equally,Principles; Ray Dalio; Ray Dalio (Principles),No,
Radical Transparency,Organizational Culture,Openness,Cultural Principle,,Extreme openness about decisions and reasoning builds trust and improves outcomes,Principles; Ray Dalio; Ray Dalio (Principles),No,https://en.wikipedia.org/wiki/Radical_transparency
Randomness,Systems and Mathematics,Mathematics,Probability Concept,,Unpredictable variation outcomes,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Randomness
Randomness in Financial Success,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money,No,
Randomness Recognition,Probability,Pattern Recognition,Cognitive Model,,,Fooled by Randomness; Nassim Taleb,No,
Range Thinking,Probability & Uncertainty,Hand Analysis,Strategic Framework,,Consider full spectrum of possibilities rather than single outcome,Decision Making; Poker Community; Poker Strategy,No,
RAS Theory,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Rank_theory_of_depression
Razors,Core Thinking,Foundational,Core Model,,,Sloww,No,https://en.wikipedia.org/wiki/Razors
Reality is King,Philosophy,Core Belief,Principle,,,Principles; Ray Dalio,No,https://en.wikipedia.org/wiki/Reality_Kings
Reality is King (Face Reality Head-On),Philosophy & Decision Making,Systems & Decision-Making,Philosophical Principle,,Acknowledge truth of current situation before making decisions,Principles; Ray Dalio; Ray Dalio (Principles),No,
Reality-Test Assumptions,Reality-Testing,Fact-Checking,Decision Framework,,,Chip & Dan Heath; Decisive,No,
Reality-Test Your Assumptions,Decision Making,Decision Process,Decision Framework,,,Chip & Dan Heath; Decisive,No,
Recategorization,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,https://en.wikipedia.org/wiki/Recategorization
Reciprocity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Action creates equal opposite reaction,Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Reciprocity
Reciprocity Fallacy,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Reciprocity Principle,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Reciprocity_principle
Red Queen Effect,Competition & Adaptation,General,Competitive Principle,,Constant adaptation required just to maintain competitive position,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Evolution; Shane Parrish (TGMM Vol 2); Shane Parrish Vol 2; Strategy,No,https://en.wikipedia.org/wiki/Red_queen_effect
Red Team vs Blue Team,Decision Making,Probabilistic Decisions,Decision Framework,,,Annie Duke; Thinking in Bets,No,
Regression to the Mean,Systems and Mathematics,Mathematics,Statistical Principle,,Extreme values tend to move toward average in subsequent measurements,80 Useful Mental Models; Behavioral Economics; Daniel Kahneman; Great Mental Models Vol 3; Shane Parrish; Shane Parrish (TGMM Vol 3); Shane Parrish Vol 3; Statistics; SuperThinking,No,https://en.wikipedia.org/wiki/Regression_to_the_Mean
Regret Minimization Framework,Additional Frameworks,Decision Making,Framework,,,Cross-Source; Cross-Source Frameworks; Multiple,No,
Relativity,"Physics, Chemistry, Biology",Physics,Physics Principle,,Different perspectives valid,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/Relativity
Replication,"Physics, Chemistry, Biology",Biology,Biological Principle,,Making copies maintain characteristics,80 Useful Mental Models; 80 Useful Mental Models Blog; Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2; hptbydts.com,No,https://en.wikipedia.org/wiki/Replication
Representation,Economics and Art,Art,Art Principle,,Ideas depicted symbolically,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Representation
Representativeness Heuristic,Cognitive Bias,Similarity Matching,Cognitive Bias,,Judging probability by similarity to prototypes rather than base rates,"99 Mental Models; Daniel Kahneman; SuperThinking; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Representativeness_heuristic
Resisting the Extrovert Ideal,Leadership & Personality,Work Environment,Organizational Model,,,Quiet; Susan Cain,No,
Response Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Response_bias
Rethinking,Cognitive Flexibility,Cognitive Flexibility,Mental Framework,,Open-minded reconsideration of beliefs when confronted with new information,Adam Grant; Adam Grant (Think Again); Think Again,No,https://en.wikipedia.org/wiki/Rethinking
Rethinking (vs Preaching),Learning & Change,Rethinking,Learning Model,,,Adam Grant; Think Again,No,
Reverse Engineer,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,https://en.wikipedia.org/wiki/Reverse_engineering
Reversible vs Irreversible Decisions,Key Concepts,Foundational Thinking,Framework,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,
Reversing Investment Decisions,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin,No,
Risk Management in Betting,Risk Management,Bankroll,Strategic Framework,,,Poker Community; Poker Strategy,No,
Root Cause Principle,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish,No,
Safeguard Decisions,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish,No,
Safeguarding Decision-Making,Decision Making & Psychology,Key Principles,Principle,,Protect quality through process,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
Salespeople,Social Dynamics,Persuaders,Social Model,,,Malcolm Gladwell; The Tipping Point,No,https://en.wikipedia.org/wiki/Salespeople
Salespeople (Persuaders),Social Dynamics,Connectors,Social Model,,,Malcolm Gladwell; The Tipping Point,No,
Sampling,Systems and Mathematics,Mathematics,Statistical Method,,Draw conclusions from portions,Great Mental Models Vol 3; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Sampling
Satisficing Principle,Comprehensive List,General,Mental Model,,,99 Mental Models,No,
Sayre's Law,"Laws, Principles & Razors",Laws,Law,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Sayre%27s_law
Scale,Systems and Mathematics,Systems,System Concept,,How systems change with size,Great Mental Models Vol 3; Kevin Espiritu; Mental Models for Business; Shane Parrish; Shane Parrish Vol 3,No,https://en.wikipedia.org/wiki/Scale
Scarcity,Economics and Art,Economics,Economic Principle,,Limited resources drive value,Gabriel Weinberg & Lauren McCann; Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4; SuperThinking; SuperThinking (Weinberg/McCann); Thaler & Sunstein,No,https://en.wikipedia.org/wiki/Scarcity
Scarcity Mental Model,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,
Scientific Method,Core Thinking,Foundational,Core Model,,,Sloww,No,https://en.wikipedia.org/wiki/Scientific_method
SCQA Structure,Additional Frameworks,Communication,Framework,,,Cross-Source,No,
"SCQA Structure (Situation, Complication, Question, Answer)",Additional Frameworks,Communication,Framework,,,Cross-Source Frameworks; Multiple,No,
Second-Order Thinking,General Thinking Concepts,Fundamental Frameworks,Framework,,Consider not just immediate effects but the consequences of those consequences,Great Mental Models Vol 1; Shane Parrish; Shane Parrish (TGMM Vol 1); Shane Parrish Vol 1,No,
Selection Bias,"Biases, Fallacies & Effects",Selection & Data Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Selection_bias
Self-Accountability,Decision Making & Psychology,Strengths,Strength,,Taking responsibility outcomes,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,
Self-Confidence,Decision Making & Psychology,Strengths,Strength,,Trusting independent action,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,https://en.wikipedia.org/wiki/Self_confidence
Self-Control,Decision Making & Psychology,Strengths,Strength,,Managing emotions prevent impulses,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,https://en.wikipedia.org/wiki/Self-Control
Self-Fulfilling Prophecy,Comprehensive,General,Mental Model,,,99 Mental Models; 99 Mental Models Site; 99mentalmodels.com,No,https://en.wikipedia.org/wiki/Self-fulfilling_prophecy
Self-Knowledge,Decision Making & Psychology,Strengths,Strength,,Understanding strengths weaknesses,Clear Thinking; Shane Parrish; Shane Parrish: Clear Thinking,No,https://en.wikipedia.org/wiki/Self-knowledge_(psychology)
Self-Preservation,"Physics, Chemistry, Biology",Biology,Biological Principle,,Innate drive maintain existence,Great Mental Models Vol 2; Shane Parrish; Shane Parrish Vol 2,No,https://en.wikipedia.org/wiki/The_Self-Preservation_Society_(The_Boys_episode)
Self-Serving Bias,"Biases, Fallacies & Effects",Belief & Judgment Biases,Bias,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Self-serving_bias
Semmelweis Reflex,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Semmelweis_reflex
Separate Decision Quality from Outcomes,Quality,Decision vs Outcome,Decision Model,,,Annie Duke; Thinking in Bets,No,
Separate Luck from Skill,Attribution,Luck and Skill,Learning Model,,,Annie Duke; Thinking in Bets,No,
Separating Luck from Skill,Skill Development,Learning,Learning Model,,,Annie Duke; Thinking in Bets,No,
Serendipity,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Serendipity
Shared Goals,Conflict & Psychology,Social Dynamics,Conflict Framework,,,Amanda Ripley; High Conflict,No,https://en.wikipedia.org/wiki/Shared_false_memory
Shared Mental Models,Teamwork,Mental Alignment,Team Framework,,,Atul Gawande; The Checklist Manifesto,No,
Short-Term Emotion,Decision Making,Decision Framework,Decision Model,,,Chip & Dan Heath; Decisive,No,
Simple Mistakes in Complex Systems,Systems & Complexity,Process Management,Process Framework,,,Atul Gawande; The Checklist Manifesto,No,
Simultaneous Invention,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Simultaneous_invention
Six Principles of Influence,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,
Six Thinking Hats,Comprehensive List,General,Mental Model,,,80 Useful Mental Models,No,https://en.wikipedia.org/wiki/Six_Thinking_Hats
Skill vs Luck Framework,Investment,Investing Frameworks,Investment Model,,,Expectations Investing / Skill & Luck; Michael Mauboussin,No,
Skill vs Luck Spectrum,Performance,Attribution,Performance Model,,,"Michael Mauboussin; Skill, Luck & Markets",No,
Slippery Slope Argument,Key Concepts,Reasoning & Thinking Models,Reasoning Model,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Slippery_Slope_Argument
Social Default,Decision Making,Defaults,Decision Trap,,,Clear Thinking; Shane Parrish,No,
Social Proof,"Biases, Fallacies & Effects",Influence Principles,Influence Principle,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Social_proof
Spacing Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Spacing_effect
Speculative vs Conservative Approach,Finance & Psychology,Financial Behavior,Behavioral Model,,,Morgan Housel; The Psychology of Money,No,
Spotlight Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Spotlight_effect
Status Quo Bias,Cognitive Bias,Default Position,Cognitive Bias,,Preference for current state over alternatives; resistance to change,"99 Mental Models; 99 Mental Models Site; 99mentalmodels.com; Behavioral Economics; Daniel Kahneman; SuperThinking; Thinking, Fast and Slow",No,https://en.wikipedia.org/wiki/Status_quo_bias
Stickiness Factor,Viral Spread,Memorability,Social Model,,,Malcolm Gladwell; The Tipping Point,No,
Stimulus-Response Gap,Decision Making,Principles,Principle,,,Clear Thinking; Shane Parrish,No,
Stoic Philosophy & Obstacles,Philosophy & Resilience,,Philosophical Framework,,Every obstacle is opportunity for virtue; control what you can control,Marcus Aurelius (Meditations); Ryan Holiday (The Obstacle Is the Way),No,
Streetlight Effect,Comprehensive List,General,Mental Model,,,99 Mental Models,No,https://en.wikipedia.org/wiki/Streetlight_effect
Streisand Effect,"Biases, Fallacies & Effects",Behavioral & Social,Bias/Effect,,,Gabriel Weinberg & Lauren McCann; SuperThinking; SuperThinking (Weinberg/McCann),No,https://en.wikipedia.org/wiki/Streisand_effect
Strengths-Based Thinking,Comprehensive,General,Mental Model,,,80 Useful Mental Models; 80 Useful Mental Models Blog; hptbydts.com,No,
Style,Economics and Art,Art,Art Concept,,Distinctive manner expression,Great Mental Models Vol 4; Shane Parrish; Shane Parrish Vol 4,No,https://en.wikipedia.org/wiki/Style
